Sample	Respective pooled control
190_repC	batch13_pWT
191_repA	batch13_pWT
191_repB	batch13_pWT
191_repC	batch13_pWT
192_repA	batch13_pWT
192_repB	batch13_pWT
192_repC	batch13_pWT
193_repA	batch13_pWT
193_repB	batch13_pWT
193_repC	batch13_pWT
194_repA	batch13_pWT
194_repB	batch13_pWT
194_repC	batch13_pWT
195_repA	batch13_pWT
195_repB	batch13_pWT
195_repC	batch13_pWT
196_repA	batch13_pWT
196_repB	batch13_pWT
196_repC	batch13_pWT
197_repA	batch13_pWT
197_repB	batch13_pWT
197_repC	batch13_pWT
198_repA	batch13_pWT
198_repB	batch13_pWT
198_repC	batch13_pWT
199_repA	batch13_pWT
199_repB	batch13_pWT
199_repC	batch13_pWT
20_repA	batch2A_pWT
20_repB	batch2A_pWT
20_repC	batch2A_pWT
20_repD	batch2A_pWT
200_repA	batch14_pWT
200_repB	batch14_pWT
200_repC	batch14_pWT
201_repA	batch14_pWT
201_repB	batch14_pWT
201_repC	batch14_pWT
202_repA	batch14_pWT
202_repB	batch14_pWT
202_repC	batch14_pWT
203_repA	batch14_pWT
203_repB	batch14_pWT
203_repC	batch14_pWT
204_repA	batch14_pWT
204_repB	batch14_pWT
204_repC	batch14_pWT
205_repA	batch14_pWT
205_repB	batch14_pWT
205_repC	batch14_pWT
206_repA	batch14_pWT
206_repB	batch14_pWT
206_repC	batch14_pWT
207_repA	batch14_pWT
207_repB	batch14_pWT
207_repC	batch14_pWT
208_repA	batch14_pWT
208_repB	batch14_pWT
208_repC	batch14_pWT
209_repA	batch14_pWT
209_repB	batch14_pWT
209_repC	batch14_pWT
21_repA	batch2A_pWT
21_repB	batch2A_pWT
21_repC	batch2A_pWT
21_repD	batch2A_pWT
210_repA	batch14_pWT
210_repB	batch14_pWT
210_repC	batch14_pWT
211_repA	batch14_pWT
211_repB	batch14_pWT
211_repC	batch14_pWT
212_repA	batch14_pWT
212_repB	batch14_pWT
212_repC	batch14_pWT
213_repA	batch14_pWT
213_repB	batch14_pWT
213_repC	batch14_pWT
214_repA	batch14_pWT
214_repB	batch14_pWT
214_repC	batch14_pWT
215_repA	batch14_pWT
215_repB	batch14_pWT
215_repC	batch14_pWT
216_repA	batch15B_pWT
216_repB	batch15B_pWT
216_repC	batch15B_pWT
217_repA	batch15B_pWT
217_repB	batch15B_pWT
217_repC	batch15B_pWT
218_repA	batch15B_pWT
218_repB	batch15B_pWT
218_repC	batch15B_pWT
219_repA	batch15B_pWT
219_repB	batch15B_pWT
219_repC	batch15B_pWT
22_repA	batch2A_pWT
22_repB	batch2A_pWT
22_repC	batch2A_pWT
22_repD	batch2A_pWT
220_repA	batch15B_pWT
220_repB	batch15B_pWT
220_repC	batch15B_pWT
221_repA	batch15B_pWT
221_repB	batch15B_pWT
221_repC	batch15B_pWT
222_repA	batch15B_pWT
222_repB	batch15B_pWT
222_repC	batch15B_pWT
223_repA	batch15B_pWT
223_repB	batch15B_pWT
223_repC	batch15B_pWT
224_repA	batch15B_pWT
224_repB	batch15B_pWT
224_repC	batch15B_pWT
23_repA	batch2A_pWT
23_repB	batch2A_pWT
23_repC	batch2A_pWT
23_repD	batch2A_pWT
24_repA	batch2A_pWT
24_repB	batch2A_pWT
24_repC	batch2A_pWT
24_repD	batch2A_pWT
25_repA	batch2B_pWT
25_repB	batch2B_pWT
25_repC	batch2B_pWT
25_repD	batch2B_pWT
26_repA	batch2B_pWT
26_repB	batch2B_pWT
26_repC	batch2B_pWT
26_repD	batch2B_pWT
27_repA	batch2B_pWT
27_repB	batch2B_pWT
27_repC	batch2B_pWT
27_repD	batch2B_pWT
28_repA	batch2B_pWT
28_repB	batch2B_pWT
28_repC	batch2B_pWT
28_repD	batch2B_pWT
29_repA	batch2B_pWT
29_repB	batch2B_pWT
29_repC	batch2B_pWT
29_repD	batch2B_pWT
30_repA	batch2B_pWT
30_repB	batch2B_pWT
30_repC	batch2B_pWT
30_repD	batch2B_pWT
31_repA	batch2B_pWT
31_repB	batch2B_pWT
31_repC	batch2B_pWT
31_repD	batch2B_pWT
32_repA	batch2B_pWT
32_repB	batch2B_pWT
32_repC	batch2B_pWT
32_repD	batch2B_pWT
33_repA	batch3B_pWT
33_repB	batch3B_pWT
33_repC	batch3B_pWT
33_repD	batch3B_pWT
34_repA	batch3B_pWT
34_repB	batch3B_pWT
34_repC	batch3B_pWT
34_repD	batch3B_pWT
35_repA	batch3B_pWT
35_repB	batch3B_pWT
35_repC	batch3B_pWT
35_repD	batch3B_pWT
36_repA	batch3B_pWT
36_repB	batch3B_pWT
36_repC	batch3B_pWT
36_repD	batch3B_pWT
37_repA	batch3B_pWT
37_repB	batch3B_pWT
37_repC	batch3B_pWT
37_repD	batch3B_pWT
38_repA	batch3B_pWT
38_repB	batch3B_pWT
38_repC	batch3B_pWT
38_repD	batch3B_pWT
39_repA	batch3B_pWT
39_repB	batch3B_pWT
39_repC	batch3B_pWT
39_repD	batch3B_pWT
40_repA	batch3A_pWT
40_repB	batch3A_pWT
40_repC	batch3A_pWT
40_repD	batch3A_pWT
41_repA	batch3A_pWT
41_repB	batch3A_pWT
41_repC	batch3A_pWT
41_repD	batch3A_pWT
42_repA	batch3A_pWT
42_repB	batch3A_pWT
42_repC	batch3A_pWT
42_repD	batch3A_pWT
43_repA	batch3A_pWT
43_repB	batch3A_pWT
43_repC	batch3A_pWT
43_repD	batch3A_pWT
44_repA	batch3A_pWT
44_repB	batch3A_pWT
44_repC	batch3A_pWT
44_repD	batch3A_pWT
45_repA	batch3A_pWT
45_repB	batch3A_pWT
45_repC	batch3A_pWT
45_repD	batch3A_pWT
46_repA	batch3A_pWT
46_repB	batch3A_pWT
46_repC	batch3A_pWT
46_repD	batch3A_pWT
47_repA	batch3A_pWT
47_repB	batch3A_pWT
47_repC	batch3A_pWT
47_repD	batch3A_pWT
48_repA	batch3B_pWT
48_repB	batch3B_pWT
48_repC	batch3B_pWT
48_repD	batch3B_pWT
49_repA	batch4B_pWT
49_repB	batch4B_pWT
49_repC	batch4B_pWT
49_repD	batch4B_pWT
50_repA	batch4B_pWT
50_repB	batch4B_pWT
50_repC	batch4B_pWT
50_repD	batch4B_pWT
51_repA	batch4B_pWT
51_repB	batch4B_pWT
51_repC	batch4B_pWT
51_repD	batch4B_pWT
52_repA	batch4B_pWT
52_repC	batch4B_pWT
52_repD	batch4B_pWT
53_repA	batch4B_pWT
53_repB	batch4B_pWT
53_repC	batch4B_pWT
53_repD	batch4B_pWT
54_repA	batch4B_pWT
54_repB	batch4B_pWT
54_repC	batch4B_pWT
54_repD	batch4B_pWT
55_repA	batch15A_pWT
55_repB	batch15A_pWT
55_repC	batch15A_pWT
56_repA	batch4B_pWT
56_repB	batch4B_pWT
56_repC	batch4B_pWT
56_repD	batch4B_pWT
57_repA	batch4A_pWT
57_repB	batch4A_pWT
57_repC	batch4A_pWT
57_repD	batch4A_pWT
58_repA	batch4A_pWT
58_repB	batch4A_pWT
58_repC	batch4A_pWT
58_repD	batch4A_pWT
59_repA	batch4A_pWT
59_repB	batch4A_pWT
59_repC	batch4A_pWT
59_repD	batch4A_pWT
60_repA	batch4A_pWT
60_repB	batch4A_pWT
60_repC	batch4A_pWT
60_repD	batch4A_pWT
61_repA	batch4A_pWT
61_repB	batch4A_pWT
61_repC	batch4A_pWT
61_repD	batch4A_pWT
62_repA	batch4A_pWT
62_repB	batch4A_pWT
62_repC	batch4A_pWT
62_repD	batch4A_pWT
63_repA	batch4A_pWT
63_repB	batch4A_pWT
63_repC	batch4A_pWT
63_repD	batch4A_pWT
64_repA	batch4A_pWT
64_repB	batch4A_pWT
64_repC	batch4A_pWT
64_repD	batch4A_pWT
72_repA	batch7_pWT
72_repB	batch7_pWT
72_repC	batch7_pWT
73_repA	batch7_pWT
73_repB	batch7_pWT
73_repC	batch7_pWT
74_repA	batch7_pWT
74_repB	batch7_pWT
74_repC	batch7_pWT
75_repA	batch7_pWT
75_repB	batch7_pWT
75_repC	batch7_pWT
76_repA	batch7_pWT
76_repB	batch7_pWT
76_repC	batch7_pWT
77_repA	batch7_pWT
77_repB	batch7_pWT
77_repC	batch7_pWT
78_repA	batch7_pWT
78_repB	batch7_pWT
78_repC	batch7_pWT
79_repA	batch7_pWT
79_repB	batch7_pWT
79_repC	batch7_pWT
80_repA	batch7_pWT
80_repB	batch7_pWT
80_repC	batch7_pWT
81_repA	batch7_pWT
81_repB	batch7_pWT
81_repC	batch7_pWT
82_repA	batch7_pWT
82_repB	batch7_pWT
82_repC	batch7_pWT
83_repA	batch7_pWT
83_repB	batch7_pWT
83_repC	batch7_pWT
84_repA	batch7_pWT
84_repB	batch7_pWT
84_repC	batch7_pWT
85_repA	batch7_pWT
85_repB	batch7_pWT
85_repC	batch7_pWT
86_repA	batch7_pWT
86_repB	batch7_pWT
86_repC	batch7_pWT
87_repA	batch7_pWT
87_repB	batch7_pWT
87_repC	batch7_pWT
88_repA	batch6_pWT
88_repB	batch6_pWT
88_repC	batch6_pWT
89_repA	batch6_pWT
89_repB	batch6_pWT
89_repC	batch6_pWT
9_repA	batch1B_pWT
9_repB	batch1B_pWT
9_repC	batch1B_pWT
9_repD	batch1B_pWT
90_repA	batch6_pWT
90_repB	batch6_pWT
90_repC	batch6_pWT
91_repA	batch6_pWT
91_repB	batch6_pWT
91_repC	batch6_pWT
92_repA	batch6_pWT
92_repB	batch6_pWT
92_repC	batch6_pWT
93_repA	batch6_pWT
93_repB	batch6_pWT
93_repC	batch6_pWT
94_repA	batch6_pWT
94_repB	batch6_pWT
94_repC	batch6_pWT
95_repA	batch6_pWT
95_repB	batch6_pWT
95_repC	batch6_pWT
96_repA	batch6_pWT
96_repB	batch6_pWT
96_repC	batch6_pWT
97_repA	batch6_pWT
97_repB	batch6_pWT
97_repC	batch6_pWT
98_repA	batch6_pWT
98_repB	batch6_pWT
98_repC	batch6_pWT
99_repA	batch6_pWT
99_repB	batch6_pWT
99_repC	batch6_pWT
